run_id,model_arc,train_dataset,val_dataset,num_classes,train_trans,val_trans,train_num,val_num,epochs,max_lr,batch_size,iters/epoch,params,loss_func,optimizer,scheduler,lr,epoch,train_loss,train_acc,val_loss,val_acc
10,models.gitresnet resnet18,cifar10_train,cifar10_val,10,"[ToTensor(), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[0.0, 360.0], interpolation=nearest, expand=False, fill=0)]",[ToTensor()],50000,10000,100,0.001,128,391,11173962,CrossEntropyLoss(),"Adam ( Parameter Group 0     amsgrad: False     betas: (0.9, 0.999)     capturable: False     differentiable: False     eps: 1e-08     foreach: None     fused: None     initial_lr: 0.001     lr: 0.001     maximize: False     weight_decay: 0 )",CosineAnnealingLR ( T_max = 100 base_lrs = [0.001] eta_min = 0 last_epoch = 0 optimizer = Adam() verbose = False ),2.467198171342e-7,100,0.00814249615097046,0.98678,0.12176361389160156,0.8673
11,models.gitresnet resnet18,cifar10_train,cifar10_val,10,"[ToTensor(), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[0.0, 360.0], interpolation=nearest, expand=False, fill=0)]",[ToTensor()],50000,10000,100,0.003,128,391,11173962,CrossEntropyLoss(),"Adam ( Parameter Group 0     amsgrad: False     betas: (0.9, 0.999)     capturable: False     differentiable: False     eps: 1e-08     foreach: None     fused: None     initial_lr: 0.003     lr: 0.003     maximize: False     weight_decay: 0 )",CosineAnnealingLR ( T_max = 100 base_lrs = [0.003] eta_min = 0 last_epoch = 0 optimizer = Adam() verbose = False ),7.401594514025998e-7,100,0.002565669877439737,0.99618,0.19082039667129516,0.8374
12,models.gitresnet resnet18,cifar10_train,cifar10_val,10,"[ToTensor(), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[0.0, 360.0], interpolation=nearest, expand=False, fill=0)]",[ToTensor()],50000,10000,100,0.005,128,391,11173962,CrossEntropyLoss(),"Adam ( Parameter Group 0     amsgrad: False     betas: (0.9, 0.999)     capturable: False     differentiable: False     eps: 1e-08     foreach: None     fused: None     initial_lr: 0.005     lr: 0.005     maximize: False     weight_decay: 0 )",CosineAnnealingLR ( T_max = 100 base_lrs = [0.005] eta_min = 0 last_epoch = 0 optimizer = Adam() verbose = False ),1.2335990856710008e-6,100,0.0029360167837142945,0.99544,0.21830724553108216,0.8171
13,models.gitresnet resnet18,cifar10_train,cifar10_val,10,"[ToTensor(), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[0.0, 360.0], interpolation=nearest, expand=False, fill=0)]",[ToTensor()],50000,10000,100,0.01,128,391,11173962,CrossEntropyLoss(),"Adam ( Parameter Group 0     amsgrad: False     betas: (0.9, 0.999)     capturable: False     differentiable: False     eps: 1e-08     foreach: None     fused: None     initial_lr: 0.01     lr: 0.01     maximize: False     weight_decay: 0 )",CosineAnnealingLR ( T_max = 100 base_lrs = [0.01] eta_min = 0 last_epoch = 0 optimizer = Adam() verbose = False ),2.4671981713420015e-6,100,0.004690868551433087,0.99268,0.20587044033050536,0.8219
14,models.gitresnet resnet18,cifar10_train,cifar10_val,10,"[ToTensor(), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[0.0, 360.0], interpolation=nearest, expand=False, fill=0)]",[ToTensor()],50000,10000,100,0.03,128,391,11173962,CrossEntropyLoss(),"Adam ( Parameter Group 0     amsgrad: False     betas: (0.9, 0.999)     capturable: False     differentiable: False     eps: 1e-08     foreach: None     fused: None     initial_lr: 0.03     lr: 0.03     maximize: False     weight_decay: 0 )",CosineAnnealingLR ( T_max = 100 base_lrs = [0.03] eta_min = 0 last_epoch = 0 optimizer = Adam() verbose = False ),7.401594514026003e-6,100,0.028930063281059265,0.94882,0.16230182942390442,0.804
15,models.gitresnet resnet18,cifar100_train,cifar100_val,100,"[ToTensor(), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[0.0, 360.0], interpolation=nearest, expand=False, fill=0)]",[ToTensor()],50000,10000,100,0.001,128,391,11220132,CrossEntropyLoss(),"Adam ( Parameter Group 0     amsgrad: False     betas: (0.9, 0.999)     capturable: False     differentiable: False     eps: 1e-08     foreach: None     fused: None     initial_lr: 0.001     lr: 0.001     maximize: False     weight_decay: 0 )",CosineAnnealingLR ( T_max = 100 base_lrs = [0.001] eta_min = 0 last_epoch = 0 optimizer = Adam() verbose = False ),2.467198171342e-7,100,0.002055767079591751,0.99854,0.5397392485427857,0.5995
16,models.gitresnet resnet18,cifar100_train,cifar100_val,100,"[ToTensor(), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[0.0, 360.0], interpolation=nearest, expand=False, fill=0)]",[ToTensor()],50000,10000,100,0.003,128,391,11220132,CrossEntropyLoss(),"Adam ( Parameter Group 0     amsgrad: False     betas: (0.9, 0.999)     capturable: False     differentiable: False     eps: 1e-08     foreach: None     fused: None     initial_lr: 0.003     lr: 0.003     maximize: False     weight_decay: 0 )",CosineAnnealingLR ( T_max = 100 base_lrs = [0.003] eta_min = 0 last_epoch = 0 optimizer = Adam() verbose = False ),7.401594514025998e-7,100,0.0013869697256088257,0.9986,0.7191193677520752,0.5495
17,models.gitresnet resnet18,cifar100_train,cifar100_val,100,"[ToTensor(), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[0.0, 360.0], interpolation=nearest, expand=False, fill=0)]",[ToTensor()],50000,10000,100,0.005,128,391,11220132,CrossEntropyLoss(),"Adam ( Parameter Group 0     amsgrad: False     betas: (0.9, 0.999)     capturable: False     differentiable: False     eps: 1e-08     foreach: None     fused: None     initial_lr: 0.005     lr: 0.005     maximize: False     weight_decay: 0 )",CosineAnnealingLR ( T_max = 100 base_lrs = [0.005] eta_min = 0 last_epoch = 0 optimizer = Adam() verbose = False ),1.2335990856710008e-6,100,0.002548865561783314,0.99722,0.8591598797607422,0.4965
18,models.gitresnet resnet18,cifar100_train,cifar100_val,100,"[ToTensor(), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[0.0, 360.0], interpolation=nearest, expand=False, fill=0)]",[ToTensor()],50000,10000,100,0.01,128,391,11220132,CrossEntropyLoss(),"Adam ( Parameter Group 0     amsgrad: False     betas: (0.9, 0.999)     capturable: False     differentiable: False     eps: 1e-08     foreach: None     fused: None     initial_lr: 0.01     lr: 0.01     maximize: False     weight_decay: 0 )",CosineAnnealingLR ( T_max = 100 base_lrs = [0.01] eta_min = 0 last_epoch = 0 optimizer = Adam() verbose = False ),2.4671981713420015e-6,100,0.013513942951202392,0.97992,0.8145591436767579,0.4905
19,models.gitresnet resnet18,cifar100_train,cifar100_val,100,"[ToTensor(), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[0.0, 360.0], interpolation=nearest, expand=False, fill=0)]",[ToTensor()],50000,10000,100,0.03,128,391,11220132,CrossEntropyLoss(),"Adam ( Parameter Group 0     amsgrad: False     betas: (0.9, 0.999)     capturable: False     differentiable: False     eps: 1e-08     foreach: None     fused: None     initial_lr: 0.03     lr: 0.03     maximize: False     weight_decay: 0 )",CosineAnnealingLR ( T_max = 100 base_lrs = [0.03] eta_min = 0 last_epoch = 0 optimizer = Adam() verbose = False ),7.401594514026003e-6,100,0.1860725911102295,0.72168,0.40621675365447996,0.5199
