step,epoch,lr,train_loss,train_acc,val_loss,val_acc,timestamp,timestamp_fmt,duration,duration_fmt
37,37,0.0035644482289126827,0.033814098754525186,0.988,0.03086159697920084,0.9885,1744268481.2360768,2025/04/10 16:01:21,461.264931678772,7.7m
38,38,0.0034928697265869525,0.04483133392333984,0.9834,0.034416607931256296,0.9905,1744268493.813005,2025/04/10 16:01:33,473.8418598175049,7.9m
39,39,0.0034203113817116966,0.041779833096265796,0.9847,0.050997337087988856,0.987,1744268506.5106537,2025/04/10 16:01:46,486.5395085811615,8.1m
40,40,0.00334684480061323,0.036740086340904234,0.9866,0.03478089591860771,0.9865,1744268519.5098264,2025/04/10 16:01:59,499.538681268692,8.3m
41,41,0.00327254248593737,0.034222154119610784,0.9885,0.035237046986818316,0.9885,1744268532.5035515,2025/04/10 16:02:12,512.5324063301086,8.5m
42,42,0.003197477765098075,0.03417663383856416,0.9873,0.03525858648121357,0.9895,1744268544.9316947,2025/04/10 16:02:24,524.9605495929718,8.7m
43,43,0.003121724717912138,0.033161659426242114,0.9882,0.027523759350180626,0.991,1744268557.3167753,2025/04/10 16:02:37,537.3456301689148,9.0m
44,44,0.003045358103491358,0.027079729025391863,0.9898,0.0417687126994133,0.989,1744268569.7813098,2025/04/10 16:02:49,549.8101646900177,9.2m
45,45,0.0029684532864643134,0.029503677351027727,0.9899,0.03426935170590877,0.9875,1744268582.2120404,2025/04/10 16:03:02,562.2408952713013,9.4m
46,46,0.002891086162600579,0.026015341305639594,0.9909,0.03879474549554288,0.9895,1744268594.7130728,2025/04/10 16:03:14,574.7419276237488,9.6m
47,47,0.0028133330839107628,0.027905303270369768,0.9908,0.03453080219775438,0.9885,1744268607.0763526,2025/04/10 16:03:27,587.1052074432373,9.8m
48,48,0.0027352707832962874,0.02393369082994759,0.9908,0.026585871370509266,0.992,1744268619.5355241,2025/04/10 16:03:39,599.5643789768219,10.0m
49,49,0.0026569762988232853,0.02895303933620453,0.9899,0.031240412722341716,0.9905,1744268632.0907907,2025/04/10 16:03:52,612.1196455955505,10.2m
50,50,0.0025785268976953224,0.03974419001936912,0.986,0.043908958226442335,0.984,1744268644.515197,2025/04/10 16:04:04,624.5440518856049,10.4m
